arrondissement,nb_transactions,prix_m2_mean,prix_m2_median,prix_m2_std,prix_m2_q3,valeur_median,surface_median,spec_ratio,P22_LOG,P22_LOGVAC,P22_MAISON,P22_APPART,P22_RPMAISON,P22_RPAPPART,P16_LOGVAC,P11_LOGVAC,P06_LOGVAC,D99_LOGVAC,D90_LOGVAC,D82_LOGVAC,D75_LOGVAC,D68_LOGVAC,P22_POP,C22_MEN,C22_MENPSEUL,taux_vacance,part_menages_seuls,ratio_prix_vacance,spec_norm,vac_norm,prix_norm,indice_speculation
11,2525,11956.73,10427.59,11079.41,11783.72,386000.0,37.0,1.1300521021635872,101330.750213386,11743.1726678462,385.851789793027,99201.5320512893,348.98247018522,80267.4220990983,9870.38933455291,7378.46682965106,8485.39059699043,10548.0,8028.0,9493.0,9291.0,3450.0,139983.0,82548.0392238184,48362.0610776602,11.58895265565191,58.586565510699394,1031.7351666950442,-1.2702859405558253,0.613731521624051,-0.9944709909418552,-0.5503418032912099
12,1782,10755.3,9586.44,8518.22,10833.33,388300.0,40.0,1.1300680961858625,88261.1344516849,6571.93677056106,501.671395775097,85397.0670844143,459.44779830421,71373.7877555431,5778.54519988659,4951.06118023966,5578.78496978785,6579.0,6272.0,5380.0,5419.0,2209.0,139788.0,73574.0127279031,37865.5645438569,7.446014388313363,51.465949918885286,1444.4371766029103,-1.269903887926504,-1.0471299936587335,-1.3955344456586884,-1.2375227757479754
13,1534,11656.26,9205.19,13802.78,10608.57,357780.0,39.0,1.1524552996733364,107072.847009275,8653.10265728941,1199.30822311641,102507.801075877,1125.42258410124,88417.6091329619,7409.54775305044,5573.69857748827,5328.1071728676,7791.0,6052.0,6231.0,5638.0,2967.0,177735.0,92406.146554065,47428.5397634048,8.081509830909651,51.32617421250794,1442.33692019007,-0.7351359722428141,-0.7923663800981057,-1.0947744095669658,-0.8740922539692951
14,1673,13719.83,10212.77,17873.7,11938.78,405300.0,40.0,1.1690050789354895,86480.5890400866,8790.95966785472,1057.93478708557,83230.6283390975,991.568458968681,67356.8009513529,7099.63336198869,5625.15357298853,6453.11276723747,7636.0,5514.0,5191.0,4145.0,2512.0,137581.0,70418.4911346118,37153.7296155251,10.165240275803187,52.761325920065694,1349.6808366308837,-0.33980785696487315,0.042979811620551894,-0.4059098787578341,-0.23424597470071848
15,3175,12192.6,10076.92,17044.14,11425.81,445000.0,44.0,1.1338593538501842,152264.898793528,14403.4439130301,890.043196671609,148730.318418829,812.832075698397,121055.879013127,12828.3034211347,10394.1327809618,11110.0918409892,12386.0,10382.0,12268.0,7015.0,4460.0,228754.0,124125.396059121,66821.6581440728,9.459464411795423,53.83399390101088,1288.931325202356,-1.1793413055966675,-0.23995850300197766,-0.9157324568083146,-0.7783440884689866
16,2539,14059.21,11486.49,18519.52,13724.44,770650.0,69.0,1.1948332345215988,102666.694185515,9732.0983990335,1268.82472733943,98449.5136507982,1028.86102818511,77224.7700920175,8616.79997377204,8236.96701487474,15831.9938190639,10539.0,10177.0,8464.0,5634.0,3128.0,159733.0,81028.1994253396,39470.5826994308,9.479314081592955,48.712155742519606,1483.1463414953557,0.27715481711212125,-0.2320009737002026,-0.292617456176578,-0.0824878709215531
17,2666,15029.87,10918.49,24715.34,12635.61,475364.0,43.0,1.157267167895927,107523.027865273,12419.3033224224,575.483945179925,104516.547171358,522.925391384116,82492.4369268262,9501.74038546519,9106.18220307841,11588.4513720767,10555.0,8976.0,7972.0,5663.0,3507.0,161206.0,84748.9605064617,44005.9892986359,11.550366064824608,51.92510803159721,1301.2462042888706,-0.6201938473195678,0.5982625526036172,0.0314099552876287,0.0031595535238926747
18,3374,14550.87,9631.79,20532.52,11670.56,341750.0,35.0,1.2116709355166588,124327.069471759,13107.282036033,783.610586888703,120506.772795807,715.79279537455,98604.1449553066,10193.2064231006,9342.4027259981,11403.9953122311,14511.0,12892.0,16714.0,10203.0,3903.0,185825.0,102227.272225057,57019.5094847648,10.542581025775993,55.777199414295545,1380.1999685299052,0.6793605803764561,0.19425185318548208,-0.12849065882169355,0.2483739249134149
19,1814,12874.9,8880.95,14841.1,10466.95,380000.0,40.0,1.1785844982800264,100955.797005798,9730.66051435382,1221.26963356386,96736.9392716704,1121.72504594906,82976.4580625131,7005.23429602302,6129.35061716974,6488.2170828247,8378.0,5855.0,6062.0,5461.0,2638.0,178371.0,86998.5186717103,41658.4277760833,9.638535678931818,47.884065627923796,1335.7734441075231,-0.11098221917566488,-0.16817066623297325,-0.6879658826814034,-0.3223729226966805
20,2034,13494.08,8888.89,27895.23,10117.18,354463.0,39.0,1.1381826077271742,108470.456435448,7559.85258266547,1408.01693778426,104805.790666042,1336.95355355063,94176.5325846543,6519.98430870175,5798.80142912554,6383.05179839356,8370.0,7442.0,8529.0,7212.0,2597.0,187694.0,98008.3227183557,51657.8624438155,6.969503799557095,52.70762830240808,1936.1607925168985,-1.0760708160036765,-1.238158207795856,-0.481270136868856,-0.9318330535561294
